"Gene","logFC","P.Value","adj.P.Val","Direction"
"LOC728452",-3.21512239402296,0.000847887209032497,1,"Down"
"MED13L",-3.1894369589075,0.00130068006119148,1,"Down"
"DDX58",-3.14760983058774,0.00175675086626937,1,"Down"
"LIMS2",2.86511504540959,0.00386833354731319,1,"Up"
"SSX2IP",-2.81944084723934,0.00353783539160343,1,"Down"
"LOC652755",-2.75831172160694,0.00219804839234686,1,"Down"
"HLA-C",-2.74833833215157,0.00373795162711504,1,"Down"
"LOC440900",2.68881765342904,0.00263818228034227,1,"Up"
"SIDT1",-2.62516142536228,0.00865216512192428,1,"Down"
"PPARBP",-2.56891724083845,0.0053887422660548,1,"Down"
"TRA1P2",-2.5353845555507,0.0067057736143315,1,"Down"
"PIWIL4",-2.52579987419391,0.000193608804535847,1,"Down"
"RFXDC2",-2.52535959111595,0.00154264831950291,1,"Down"
"PPP1R3B",2.50941313888027,0.00125545941319735,1,"Up"
"FLVCR2",-2.4918866650107,0.00984004318942072,1,"Down"
"C1orf187",2.49028184238839,0.001265593636136,1,"Up"
"FLJ44790",2.44643489976215,0.00409220079908534,1,"Up"
"FLJ14712",-2.43039615282591,0.000239809661050208,1,"Down"
"DTX3L",-2.42687025454685,0.00971183893030771,1,"Down"
"LOC650406",2.38945452378545,0.00021845080275998,1,"Up"
